"group","q","d","d_sd","d_lower","d_upper","e","e_lower","e_upper","sample","condition"
"HD",0,161.405,1.3378806460651,158.782802118099,164.027197881901,1,0.983753924092186,1.01624607590781,"Y28.2","All Memory"
"HD",1,160.65418034723,2.12732429622223,156.484701343198,164.823659351263,0.995348225564451,0.969515822577972,1.02118062855093,"Y28.2","All Memory"
"HD",2,159.285470305886,3.95140197279186,151.540864750773,167.030075860998,0.986868252568914,0.938885813641293,1.03485069149653,"Y28.2","All Memory"
"HD",0,161.91,1.02819547248966,159.894773904853,163.925226095147,1,0.987553417978217,1.01244658202178,"Y28.4","All Memory"
"HD",1,161.499575799248,1.41443817634261,158.727327915258,164.271823683238,0.997465109006535,0.9803429554398,1.01458726257327,"Y28.4","All Memory"
"HD",2,160.864338393831,2.01095113599674,156.922946592607,164.805730195054,0.993541710788901,0.96919860782291,1.01788481375489,"Y28.4","All Memory"
"HD",0,161.37,1.3005990115884,158.820872778958,163.919127221042,1,0.98420321484141,1.01579678515859,"Y29.2","All Memory"
"HD",1,160.639278051453,2.00037203666253,156.718620903914,164.559935198993,0.995471760869142,0.971175688813992,1.01976783292429,"Y29.2","All Memory"
"HD",2,159.356257553284,3.49233396183562,152.511408766101,166.201106340468,0.987520961475395,0.945103853046418,1.02993806990437,"Y29.2","All Memory"
"HD",0,161.625,1.28163486988241,159.1130418137,164.1369581863,1,0.98445810866945,1.01554189133055,"Y54.4","All Memory"
"HD",1,161.055391654892,1.87372847592449,157.382951325273,164.727831984511,0.996475741097555,0.973753759166423,1.01919772302869,"Y54.4","All Memory"
"HD",2,160.111804972081,2.99130751523597,154.248949975535,165.974659968628,0.990637617770032,0.954363186236875,1.02691204930319,"Y54.4","All Memory"
"Booster",0,161.94,1.06398322426039,159.854631200295,164.025368799705,1,0.987122583674786,1.01287741632521,"B1","All Memory"
"Booster",1,161.541198079996,1.46105327583322,158.677586279868,164.404809880123,0.9975373476596,0.979854182288924,1.01522051303028,"B1","All Memory"
"Booster",2,160.924327455128,2.07219165059514,156.862906450897,164.985748459359,0.993728093461332,0.968648304624534,1.01880788229813,"B1","All Memory"
"Booster",0,159.945,1.86799949425924,156.283788268113,163.606211731887,1,0.977109558086298,1.0228904419137,"B2","All Memory"
"Booster",1,158.586083439705,2.87801622174766,152.945275298157,164.226891581252,0.991503850946917,0.956236676971192,1.02677102492264,"B2","All Memory"
"Booster",2,156.207747134324,5.12146433912399,146.169861481535,166.245632787113,0.976634137574316,0.913875779058644,1.03939249608999,"B2","All Memory"
"Booster",0,162.035,0.973918676245455,160.126154470688,163.943845529312,1,0.98821954806485,1.01178045193515,"B3","All Memory"
"Booster",1,161.670704146261,1.34002615961357,159.044301135077,164.297107157446,0.997751745896019,0.981542883544156,1.01396060824788,"B3","All Memory"
"Booster",2,161.105524723643,1.90726937224022,157.367345445236,164.84370400205,0.994263737610041,0.971193541180831,1.01733393403925,"B3","All Memory"
"Booster",0,156.91,2.53456507127012,151.942343743837,161.877656256163,1,0.968340728722436,1.03165927127756,"B4","All Memory"
"Booster",1,154.307208797621,3.87590299176585,146.710578526189,161.903839069053,0.983412203158634,0.934998269875656,1.03182613644161,"B4","All Memory"
"Booster",2,150.009536070293,6.58000121913902,137.112970662551,162.906101478035,0.956022790582453,0.873831946099997,1.03821363506491,"B4","All Memory"
"Carditis",0,157.005,2.36706357112536,152.365640651478,161.644359348522,1,0.97045088151,1.02954911849,"Y165.1","All Memory"
"Carditis",1,154.483402915728,3.61163703154416,147.40472440867,161.562081422785,0.983939383559298,0.938853695160472,1.02902507195812,"Y165.1","All Memory"
"Carditis",2,150.302616580148,6.26192258425782,138.029473841024,162.575759319271,0.957311019267844,0.87914062508216,1.03548141345353,"Y165.1","All Memory"
"Carditis",0,157.07,2.4443761728449,152.279110736556,161.860889263444,1,0.969498381209372,1.03050161879063,"Y167.1","All Memory"
"Carditis",1,154.609481925801,3.53754511355689,147.676020909544,161.542942942058,0.98433489479723,0.940192404084445,1.02847738551001,"Y167.1","All Memory"
"Carditis",2,150.588977794449,5.65291852175515,139.509461084269,161.668494504628,0.95873800085598,0.888199281112048,1.02927672059991,"Y167.1","All Memory"
"Carditis",0,161.28,1.28054636580441,158.77017524249,163.78982475751,1,0.984438090541231,1.01556190945877,"Y170.1","All Memory"
"Carditis",1,160.499214950444,1.99538171583643,156.588338651995,164.410091248893,0.995158822857415,0.970909837871992,1.01940780784284,"Y170.1","All Memory"
"Carditis",2,159.107601247227,3.65338312799094,151.947101894638,166.268100599815,0.986530265669809,0.942132328215763,1.03092820312386,"Y170.1","All Memory"
"Carditis",0,161.59,1.34571719683942,158.952442760819,164.227557239181,1,0.983677472373405,1.01632252762659,"Y172.1","All Memory"
"Carditis",1,160.972925167922,1.99510016083577,157.062600707134,164.883249628711,0.996181231313339,0.971982181491022,1.02038028113566,"Y172.1","All Memory"
"Carditis",2,159.911686401148,3.2729756926611,153.496771921257,166.326600881039,0.989613753333423,0.949915043760486,1.02931246290636,"Y172.1","All Memory"
"Recovered",0,161.98,0.913109437154773,160.190338389233,163.769661610767,1,0.988951342074534,1.01104865792547,"165.1R","All Memory"
"Recovered",1,161.596980024797,1.25068377893605,159.145684862034,164.04827518756,0.997635387237912,0.982502067304815,1.01276870717101,"165.1R","All Memory"
"Recovered",2,161.004648132611,1.7651977208033,157.544924174244,164.464372090978,0.993978566073657,0.972619608434648,1.01533752371267,"165.1R","All Memory"
"Recovered",0,160.025,1.84700626983344,156.404934231907,163.645065768093,1,0.977378123617602,1.0226218763824,"170.1R","All Memory"
"Recovered",1,158.665373933674,2.97064582276067,152.843015110239,164.487732757109,0.991503664637862,0.955119607000397,1.02788772227533,"170.1R","All Memory"
"Recovered",2,156.220651867851,5.75648211915238,144.938154236663,167.503149499038,0.976226538777382,0.90572194492525,1.04673113262951,"170.1R","All Memory"
"Recovered",0,162.05,0.980974799772627,160.127324722704,163.972675277296,1,0.988135296036435,1.01186470396357,"172.1R","All Memory"
"Recovered",1,161.693947652028,1.34113862877854,159.065364241346,164.322531062709,0.997802824140869,0.981582007043175,1.01402364123856,"172.1R","All Memory"
"Recovered",2,161.14422502508,1.88691678249745,157.445936089561,164.8425139606,0.994410521598768,0.971588621348726,1.01723242184881,"172.1R","All Memory"
